Endpoint,Latency_ms
market_data,0.0
order_submission,31.0
trade_ack,31.0
market_data,16.0
order_submission,16.0
trade_ack,31.0
market_data,16.0
order_submission,31.0
trade_ack,15.0
market_data,16.0
order_submission,31.0
trade_ack,32.0
market_data,15.0
order_submission,31.0
trade_ack,32.0
market_data,15.0
order_submission,32.0
trade_ack,15.0
market_data,16.0
order_submission,31.0
trade_ack,31.0
market_data,47.0
order_submission,31.0
trade_ack,32.0
market_data,15.0
order_submission,32.0
trade_ack,15.0
market_data,0.0
order_submission,47.0
trade_ack,15.0
market_data,16.0
order_submission,47.0
trade_ack,15.0
market_data,16.0
order_submission,31.0
trade_ack,32.0
market_data,15.0
order_submission,31.0
trade_ack,32.0
market_data,15.0
order_submission,32.0
trade_ack,15.0
market_data,16.0
order_submission,32.0
trade_ack,15.0
market_data,16.0
order_submission,47.0
trade_ack,15.0
market_data,16.0
order_submission,31.0
trade_ack,32.0
market_data,15.0
order_submission,31.0
trade_ack,32.0
market_data,15.0
order_submission,47.0
trade_ack,16.0
market_data,15.0
order_submission,32.0
trade_ack,31.0
